Území;Sudety;% dětí;% dětí v neúplných rodinách;% v produktivním věku;% nad 65;Průměrný věk mužů;Průměrný věk žen;% v manželství;% rozvedených;% ovdovělých;% Pavel Petr – 2. kolo;% Babiš Andrej – 2. kolo;% Volební účast v 2. kole;% bez vzdělání;% se základní školou;% s výučním listem;% s maturitou;% vysokoškoláků + VOŠ;% Čechů;% Moravanů + Slezanů;% Slováků;% Poláků;% Němců;% Romů;% Rusů;% Ukrajinců;% Vietnamců;% cizinců;% neuvedená národnost;% zaměstnaných (15-64);% řídící pracovníci;% specialistů;% technických pracovníků;% úředníků;% ve službách a prodeji;% zemědělci, lesníci a rybáři;% řemeslníků;% obsluha strojů / zařízení;% nekvalifikovaných pracovníků;% v ozbrojených silách;% neznámý sektor práce;% zaměstnanců;% zaměstnavatelů;% podnikatelů bez zaměstnanců;% neznámý pracovní poměr;% žen 15+;Plodnost ženy (odhad);% v církvi;% věřících mimo církve
Hranice;0;15.58;24.45;63.52;20.90;41.7;44.8;40.18;10.9;7.5;52.07;47.92;70.78;0.92;12.31;34.46;32.12;15.65;58.97;14.25;1.24;0.08;0.08;0.32;0.04;0.31;0.17;2.24;24.54;78.16;3.61;11.50;12.14;4.16;9.52;0.95;10.88;12.12;3.87;1.66;7.76;61.42;0.95;8.74;7.05;51.00;1.70548668826595;20.9340409401061;11.4056103108415
Humpolec;0;15.99;22.39;62.09;21.92;42.1;44.9;42.73;9.94;7.49;54.39;45.6;75.09;0.49;10.53;37.10;31.98;14.63;63.29;0.37;0.83;0.03;0.02;0.05;0.1;0.72;0.2;1.94;34.39;80.18;4.06;11.67;12.51;4.97;9.97;1.48;9.80;11.51;4.68;0.15;9.40;63.91;1.02;9.92;5.33;50.32;1.65402053607148;15.8286358511838;10.304396843292
Hustopeče;0;16.49;17.82;63.69;19.82;41.1;44.1;42.4;9;7.2;56.36;43.63;73.15;0.45;14.36;38.56;28.73;13.55;49.65;27.98;1.06;0.08;0.07;0.03;0.05;0.52;0.14;1.96;20.42;78.57;3.79;11.19;11.46;5.60;9.96;1.78;12.67;10.98;3.84;0.23;7.07;61.57;0.91;10.87;5.22;50.60;1.70553646934461;26.5689558905639;11.2479061976549
Cheb;1;15.68;33.65;63.98;20.34;41.7;44.3;34.84;14.09;6.72;48.36;51.63;62.83;1.19;16.84;33.47;29.37;10.55;60.16;0.21;2.07;0.07;1.04;0.21;0.22;1.07;2.6;7.28;32.35;74.42;2.92;9.03;9.21;5.69;13.54;0.69;9.47;10.90;4.37;0.05;8.55;49.06;0.92;8.76;15.67;51.28;1.56584170546435;7.02735923029648;6.99133235848857
Chomutov;1;16.04;36.03;65.05;18.91;40.9;43.5;33.14;14.34;6.78;44.12;55.87;62.9;1.23;17.43;33.91;27.95;10.92;62.81;0.2;1.64;0.11;0.61;0.54;0.15;0.93;0.62;4.60;32.39;72.41;2.88;9.95;11.20;4.29;9.67;0.43;8.84;12.51;3.71;0.34;8.58;56.49;0.73;7.09;8.09;51.06;1.60563865823316;5.01317226755767;6.07080896999293
Chotěboř;0;15.49;19.17;61.44;23.07;43;45.3;43.74;9.04;7.65;54.21;45.78;75.69;0.37;11.97;39.98;30.29;13.28;66.17;0.33;0.55;0.06;0.03;0.01;0.08;0.15;0.21;1.09;32.41;77.66;3.51;10.40;11.85;4.20;9.21;1.81;13.16;12.39;3.33;0.44;7.36;60.49;1.03;11.16;4.99;50.25;1.7787207733813;14.8503508520693;9.32741419638169
Chrudim;0;16.14;22.7;62.23;21.63;41.7;44.7;40.93;10.62;7.43;55.58;44.41;73.05;0.80;12.71;36.66;30.26;14.31;64.69;0.37;0.69;0.04;0.05;0.25;0.06;0.43;0.21;1.74;33.21;78.47;3.65;12.19;12.04;5.46;10.28;0.98;11.37;9.65;3.79;0.76;8.32;60.41;0.82;10.93;6.32;50.78;1.65460742092804;11.8209310516536;8.0061211848865
Ivančice;0;16.33;21;63.46;20.21;41.3;43.8;41.07;10.74;6.99;52.83;47.16;70.75;0.51;12.04;37.73;28.61;14.96;49.03;23.22;0.95;0.05;0.07;0.02;0.06;0.5;0.1;1.74;26;77.57;3.42;11.77;11.98;5.17;10.24;0.83;12.16;9.23;3.52;0.31;8.93;61.00;0.75;10.03;5.79;50.45;1.6100019573302;11.2708643199471;9.11419600066105
Jablonec nad Nisou;1;16.6;31.19;62.43;20.97;41;44.3;35.67;14.15;6.29;62.62;37.37;69.88;0.88;13.41;31.15;31.52;16.12;63.33;0.26;1.43;0.33;0.63;0.36;0.13;0.97;0.29;4.14;32.27;78.44;3.85;12.96;13.09;5.03;10.05;0.34;9.79;10.17;3.04;0.27;9.86;58.86;0.81;11.65;7.12;51.33;1.52244033387861;6.42809688829835;7.2091645269603
Jablunkov;0;17.24;15.93;64.12;18.65;40.4;43.3;44.53;7.46;7.72;52.95;47.04;67.9;0.49;14.68;35.28;30.88;14.42;59.57;4.7;1.52;18.47;0.07;0.03;0.01;0.04;0.04;20.18;15.55;74.52;2.96;10.86;11.23;4.20;11.11;0.88;11.34;11.57;3.36;0.16;6.86;60.29;0.90;7.74;5.59;50.86;1.81328389137311;54.239933887333;9.65979523437859
Jaroměř;0;16.45;26.86;63.47;20.08;40.8;43.8;38.59;12.54;6.64;55.29;44.7;69.11;0.60;14.44;35.86;28.83;13.24;63.07;0.3;1.12;0.46;0.11;0.21;0.1;0.79;0.2;3.00;33.64;77.31;3.12;10.20;10.96;4.87;10.19;1.03;10.48;12.85;4.19;0.51;8.92;60.90;0.92;9.62;5.87;50.48;1.66387407971566;9.11183682209968;8.05182290272499
Jeseník;1;14.6;29.78;61.57;23.83;43.3;46.3;36.44;13.26;8.16;44.67;55.32;64.62;1.04;15.44;37.74;27.04;11.70;58.26;7.08;2.42;0.23;0.74;0.28;0.06;0.13;0.21;4.06;30.59;73.19;3.00;9.92;9.26;3.88;12.41;1.82;9.71;9.16;4.72;0.24;9.08;53.41;1.02;11.52;7.24;50.89;1.72956668396471;10.5973894167066;9.15113754898368
Jičín;0;15.61;24.91;62.85;21.53;42;44.9;39.36;11.54;7.13;54.26;45.73;73.05;0.71;13.42;35.58;30.72;14.07;62.61;0.27;1.1;0.14;0.11;0.3;0.09;0.79;0.27;2.80;34.32;79.05;3.32;11.34;11.52;5.25;10.01;1.17;10.05;13.68;3.75;0.14;8.81;61.60;0.84;9.79;6.82;49.28;1.63620294762;7.08990764898331;7.81670600902804
Jihlava;0;16.53;22.5;63.31;20.16;41.3;43.9;40.66;10.69;6.64;59.18;40.81;72.09;0.51;12.19;35.43;31.42;15.49;64.02;3.11;0.82;0.04;0.11;0.23;0.09;0.65;0.21;2.16;30.72;80.50;3.40;12.29;13.21;5.33;9.88;0.97;10.89;12.84;3.52;0.23;7.94;64.89;0.80;9.27;5.54;50.45;1.62376201923077;15.3317406005143;9.47541049988864
Jilemnice;1;15.73;23.33;60.9;23.37;42.8;45.6;41;10.5;7.51;69.62;30.37;76.65;0.46;13.68;36.37;30.82;14.09;63.91;0.2;0.74;0.17;0.11;0.03;0.02;0.24;0.14;1.46;34.44;79.47;3.67;11.14;11.23;4.37;11.44;1.71;12.02;11.59;3.18;0.10;9.02;58.37;1.56;13.77;5.77;49.97;1.75472753720488;12.0188457008245;8.08009422850412
Jindřichův Hradec;0;15.49;26.98;61.77;22.74;42.6;45.2;39.71;12.07;7.29;56.05;43.94;70.42;0.63;13.95;36.82;29.89;13.64;64.58;0.49;0.86;0.07;0.09;0.09;0.04;0.25;0.25;1.64;33.28;77.91;3.23;10.81;11.27;4.19;10.29;1.89;11.61;11.69;3.96;1.08;7.89;58.51;0.87;10.32;8.22;51.26;1.66635295314646;9.18086255151288;8.40734292703352
Kadaň;1;15.62;32.91;64.63;19.75;41.3;43.8;34.49;13.66;7.15;44.82;55.17;61.99;1.73;18.70;34.84;27.13;9.02;60.38;0.21;1.73;0.14;0.93;0.48;0.1;0.83;0.6;4.82;34.6;74.95;3.09;8.36;10.59;3.73;9.69;0.83;10.07;15.41;3.78;0.19;9.23;59.58;0.74;7.00;7.63;50.14;1.66296782291191;5.5835847917924;5.9794809897405
Kaplice;1;16.39;25.46;65.37;18.23;40.6;43.2;38.22;12.15;6.29;54.12;45.87;68.98;0.76;15.03;38.23;27.94;10.10;58.38;0.32;2.2;0.1;0.31;0.16;0.06;1.33;0.64;4.81;36.5;76.06;2.66;7.32;9.36;4.70;9.59;1.45;13.95;12.40;4.71;0.22;9.70;55.21;0.64;8.41;11.80;49.07;1.68103008669046;11.0314886494403;9.90689402657182
Karlovy Vary;1;14.79;31.97;62.3;22.91;43.1;45.9;35.6;14.88;7.23;53.12;46.87;64.68;0.94;14.41;32.25;30.39;14.34;61.18;0.21;1.69;0.08;1.04;0.27;1.24;1.47;0.85;6.64;31.97;76.30;3.96;11.55;11.59;4.61;12.55;0.91;8.27;9.88;3.87;0.15;8.95;54.95;1.02;10.58;9.75;51.61;1.54477632675743;7.51344086021505;7.82746823069404
Karviná;0;13.8;34.05;63.63;22.58;43.1;46.8;36.54;13.39;9.14;32.31;67.68;61.1;1.15;16.42;36.41;27.24;11.07;59.56;4.55;4.03;5.23;0.07;0.38;0.03;0.12;0.12;9.98;25.91;68.32;2.32;9.06;10.38;4.02;10.89;0.29;7.47;11.72;3.74;0.22;8.21;55.10;0.59;5.11;7.52;51.25;1.64999234537661;15.47578790748;10.2867577438117
Kladno;0;16.6;27.35;63.99;19.41;40.8;43.7;36.9;13.14;6.8;60.85;39.14;67.97;0.65;13.54;29.09;33.13;17.22;64.27;0.36;1.57;0.12;0.11;0.28;0.45;1.25;0.34;4.12;31.25;79.80;4.14;14.12;14.01;7.31;11.15;0.40;7.39;9.41;2.87;0.34;8.67;61.86;0.69;9.89;7.37;51.41;1.4620173539805;6.27672147792082;6.7843799823906
Klatovy;0;15.36;26.87;62.53;22.11;42.5;45;40.22;11.63;7.46;52.75;47.24;71.44;0.55;13.01;34.85;31.13;14.43;63.27;0.2;1.06;0.09;0.3;0.1;0.05;0.58;0.35;2.53;34;78.47;3.04;10.72;11.02;4.91;10.30;1.41;10.70;12.71;4.13;0.64;8.89;56.70;0.88;9.15;11.73;50.95;1.58791157322842;10.4916575768594;8.70803538964974
Kolín;0;16.91;24.51;62.68;20.40;40.8;43.9;38.49;11.99;7.1;56.77;43.22;71.1;0.68;12.98;32.81;32.87;14.85;62.63;0.38;1.17;0.11;0.05;0.21;0.16;1.86;0.25;3.82;33.18;80.14;4.00;12.29;12.83;6.35;10.10;0.70;9.64;11.97;3.46;0.21;8.60;63.29;0.84;10.26;5.75;50.55;1.55972986777141;7.2542873827599;7.07194699019176
Konice;0;14.56;19.09;61.08;24.35;43.6;46.8;43.09;8.81;8.84;48.5;51.49;71.38;0.47;14.45;42.90;27.02;10.61;52.58;18.75;0.88;0.04;0.07;0.03;0.09;0.13;0.03;1.26;27.4;75.95;3.16;8.35;9.98;3.45;9.31;2.10;13.82;13.74;4.37;0.53;7.13;60.81;0.79;8.47;5.88;49.97;1.84653579676674;26.9276276868468;10.7966870439755
Kopřivnice;0;16.3;24.71;63.52;20.18;41.1;44.4;39.02;12.25;6.91;52.93;47.06;68.96;0.58;12.31;35.21;30.92;16.06;61.34;8.8;1.45;0.18;0.08;0.19;0.05;0.2;0.15;2.28;27.56;76.52;3.05;11.79;12.68;4.39;8.94;0.36;10.81;13.82;3.12;0.30;7.24;62.91;0.72;7.59;5.30;50.94;1.67490301402566;14.323155216285;9.6972010178117
Kostelec nad Orlicí;0;15.69;22.79;62.27;22.05;42.2;44.8;39.31;11.94;7.58;57.34;42.65;71.09;0.62;12.82;35.75;32.31;13.41;61.95;0.39;0.84;0.16;0.04;0.14;0.11;0.79;0.24;2.33;35.34;80.78;3.06;10.67;11.87;5.73;10.18;0.97;10.84;14.42;3.86;0.40;8.78;64.99;0.87;9.47;5.45;50.51;1.63979523490575;8.14214108154367;7.73870165858429
Králíky;0;15.54;29.18;61.12;23.34;42.9;45.3;38.48;10.73;8.81;53.79;46.2;71.38;0.99;20.78;38.06;25.54;8.76;60.29;1.45;1.31;0.42;0.33;0.18;0.05;0.36;0.15;2.80;35.46;77.05;3.41;7.86;8.93;3.91;11.11;2.02;11.92;14.36;4.64;0.32;8.57;59.87;0.99;10.34;5.85;50.75;1.8612708453134;10.8947498151343;9.2925807246734
Kralovice;0;15.16;22.01;62.38;22.46;42.9;45.1;40.87;10.68;7.61;52.4;47.59;71.69;0.41;13.25;40.00;29.38;11.67;62.62;0.19;0.96;0.06;0.26;0.03;0.05;0.33;0.25;1.93;35.25;79.71;3.44;9.71;12.07;4.58;10.50;1.58;11.39;13.56;3.86;0.18;8.84;62.85;0.93;9.21;6.73;49.87;1.6635250785397;6.03657698125315;6.08699637897053
Kralupy nad Vltavou;0;17.57;22.4;64.14;18.29;40.1;42.6;38.22;11.41;6.52;62.7;37.29;72.07;0.54;12.44;31.44;32.84;16.98;62.23;0.36;1.88;0.13;0.08;0.22;0.3;1.51;0.25;4.36;33.04;81.72;4.19;14.17;14.36;8.09;10.03;0.46;7.97;10.23;3.30;0.19;8.73;64.02;0.78;10.89;6.04;50.47;1.50423024079832;6.55496059202214;6.6782985379941
Kraslice;0;15.8;32.66;61.94;22.27;42.8;45;34.31;14.09;7.49;42;57.99;58.28;1.45;18.64;38.67;24.44;6.82;60;0.31;2.31;0.14;2.14;0.74;0.03;0.52;0.74;6.61;33.07;69.39;2.04;6.98;7.95;2.86;9.14;0.95;12.50;14.90;3.95;0.05;8.08;44.11;0.60;8.03;16.66;49.93;1.71649785742111;7.04283023503399;6.6333633609041
Kravaře;0;17.12;14.8;64.58;18.30;40.5;43.3;46.91;6.41;7.32;47.98;52.01;72.25;0.50;13.95;41.03;26.75;13.87;62.95;13.29;0.66;0.27;3.56;0.09;0.02;0.06;0.01;4.68;19.09;76.06;3.13;10.78;11.65;4.65;9.51;0.63;15.59;9.99;3.68;0.19;6.27;58.92;0.95;10.16;6.03;50.97;1.72003454231434;53.7597276264591;9.42607003891051
Krnov;1;14.85;33.23;61.8;23.34;42.8;46;36;13.36;7.74;39.72;60.27;64.38;1.12;15.16;36.04;29.37;11.51;59.58;6.66;1.71;0.26;0.2;0.65;0.02;0.06;0.18;3.08;30.68;72.45;3.02;10.84;9.77;3.61;10.95;1.46;10.06;9.89;4.17;0.30;8.38;55.04;1.16;9.36;6.88;51.44;1.71861419604056;9.10797377326565;8.57656514382403
Kroměříž;0;15.42;27.12;62.25;22.32;42.2;45.7;38.83;12.44;7.76;49.16;50.83;68.44;0.62;12.57;35.52;30.24;16.03;55.24;18.88;1.25;0.05;0.05;0.15;0.04;0.17;0.11;1.82;24.06;76.95;3.39;12.56;12.13;4.14;10.35;0.89;10.42;10.99;4.03;0.60;7.44;61.39;0.95;8.59;6.01;51.58;1.6368459252091;17.0697141478712;11.0918465806296
Kuřim;0;17.85;21.06;64.37;17.78;40;42.5;41.42;10.06;5.39;66.38;33.61;75.99;0.36;11.50;26.18;31.97;26.00;56.03;20.21;1.47;0.11;0.08;0.06;0.09;0.99;0.03;2.82;20.93;79.89;5.39;18.38;14.71;6.09;9.02;0.47;7.99;7.57;2.90;0.20;7.15;60.76;0.83;10.84;7.47;49.88;1.52067209775967;16.1263403846956;11.0652146701715
Kutná Hora;0;15.38;25.52;62.25;22.37;42.5;45.4;39.7;11.92;7.69;57.2;42.79;71.06;0.67;12.42;34.56;32.29;14.59;62.39;0.29;1.06;0.13;0.07;0.19;0.09;0.94;0.36;2.85;34.48;79.87;3.66;12.15;12.17;5.64;10.49;1.21;9.87;11.65;3.57;0.49;8.97;61.73;0.84;11.19;6.11;50.42;1.62082524041878;9.26143024618992;7.52112220560294
Kyjov;0;15;20.91;63.19;21.80;42.3;45.7;42.25;9.71;7.92;53.16;46.83;70.91;0.89;14.41;38.42;28.68;13.13;49.78;30.13;1.02;0.04;0.05;0.08;0.05;0.23;0.12;1.58;18.5;76.06;3.25;10.58;10.42;3.93;10.22;1.24;12.57;11.96;4.07;0.34;7.48;58.85;1.03;10.64;5.54;50.70;1.72433706795865;29.5125361170659;11.9135054525119
Lanškroun;0;17.02;21.26;62.74;20.24;40.9;43.6;39.37;10.69;6.36;57.51;42.48;72.51;0.83;15.16;37.43;28.75;12.84;62;1.06;0.94;0.16;0.13;0.09;0.07;0.63;0.13;2.16;34.79;79.87;3.45;10.34;11.40;4.09;8.43;1.15;14.95;13.30;3.96;0.09;8.70;65.46;0.75;8.50;5.16;51.05;1.74137931034483;13.4214311398777;7.65012585400935
Liberec;1;16.65;28.56;63.36;20.00;40.6;43.4;36.39;13.09;6.18;61.26;38.73;69.58;0.66;12.37;30.05;31.17;18.59;63.36;0.3;1.5;0.3;0.37;0.21;0.23;1.41;0.27;4.29;32.05;80.10;3.93;14.58;13.74;5.39;9.89;0.39;8.74;10.00;3.23;0.45;9.75;61.68;0.66;10.72;7.05;51.14;1.49209623661133;6.65457454585581;7.23596187533621
Lipník nad Bečvou;0;16.08;23.4;63.72;20.21;41.6;44.6;41.02;10.48;7.35;46.33;53.66;70.29;0.72;12.66;35.07;31.54;15.15;55.43;15.11;1.16;0.05;0.08;0.3;0.07;0.11;0.2;1.97;27.49;76.97;3.22;10.74;11.51;4.24;9.70;1.05;11.75;11.32;3.84;2.14;7.47;59.83;0.96;8.32;7.87;50.79;1.71818035166962;17.0585808580858;11.537403740374
Litoměřice;1;16.19;29.58;63.16;20.65;41.4;44.1;36.73;13.4;6.78;53.53;46.46;68.65;0.96;15.07;32.52;30.67;14.11;63.47;0.29;0.98;0.1;0.18;0.19;0.06;0.57;0.45;2.53;33.71;77.37;3.42;11.87;11.65;5.62;11.08;1.01;8.77;10.46;4.00;0.43;9.06;58.79;1.01;9.93;7.65;50.66;1.62099759957687;5.87666263603386;5.66073587839005
Litomyšl;0;16.84;18.51;62.68;20.48;41.3;43.6;43.66;8.45;6.78;65.79;34.2;75.6;0.33;12.73;34.57;31.23;16.41;64.12;0.52;0.7;0.13;0.05;0.08;0.05;0.71;0.08;1.80;33.56;79.81;3.86;13.17;11.53;4.40;9.79;1.68;11.27;11.97;3.99;0.12;8.04;63.75;1.12;9.83;5.12;50.63;1.7075684962474;21.7793513019644;9.31171006547891
Litovel;0;16.28;21.78;62.22;21.50;42;44.6;40.64;9.99;7.79;50.96;49.03;70.27;1.05;13.28;37.02;30.18;13.78;54.08;17.94;0.78;0.07;0.07;0.07;0.06;0.23;0.1;1.38;26.6;78.81;3.18;10.79;11.51;4.80;9.85;1.34;12.60;12.71;4.11;0.59;7.33;64.06;1.00;8.39;5.36;50.71;1.71185920392919;16.7810599478714;9.2267593397046
Litvínov;1;15.72;36.66;62.29;21.99;42.2;44.9;32.82;14.2;7.56;41.42;58.57;62;1.57;17.51;35.54;27.01;10.04;63.5;0.15;1.31;0.15;0.58;0.5;0.06;0.13;0.52;3.25;33.1;72.16;3.03;9.18;11.04;4.77;10.58;0.36;9.38;11.08;4.01;0.18;8.55;56.28;0.82;7.97;7.09;51.11;1.62784202917598;3.59488224637681;5.43761322463768
Louny;0;16.22;30.05;63.08;20.70;41.5;44.1;37.19;12.56;7.13;45.04;54.95;67.6;0.92;15.18;34.43;30.06;12.25;63.78;0.16;1.22;0.09;0.2;0.41;0.13;0.43;0.34;2.83;33.24;75.11;3.44;9.98;12.13;5.48;9.80;1.14;9.05;11.12;3.50;0.43;9.06;58.35;1.16;9.15;6.45;50.88;1.62782849239281;4.91733685526285;5.45977689205443
Lovosice;0;16.11;26.21;62.24;21.64;41.9;44.6;37.87;12.09;7.73;44.63;55.36;68.8;0.89;15.13;37.03;29.52;11.35;61.25;0.19;0.74;0.1;0.2;0.18;0.07;0.87;0.41;2.56;35.99;77.59;3.37;9.75;11.53;6.20;10.62;0.83;9.11;13.35;3.70;0.24;8.90;61.49;0.94;8.75;6.41;50.69;1.6328811200974;5.55083022077586;5.46947228282978
Luhačovice;0;14.87;22.09;62.52;22.61;42.9;46.3;44.04;9.52;8.18;57.29;42.7;73.93;0.35;12.39;36.10;30.73;16.55;58.82;17.32;1.45;0.02;0.07;0.01;0.08;0.28;0.06;1.97;21.89;79.18;3.97;12.12;12.12;4.41;10.81;0.59;12.71;10.42;4.15;0.22;7.68;61.17;1.14;11.28;5.59;51.32;1.72523858653598;40.3673860370767;11.709021243027
Lysá nad Labem;0;19.72;23.62;67.19;13.09;37.1;39.2;36.04;11.85;4.61;65.3;34.69;71.43;0.69;13.52;29.96;32.10;18.02;60.17;0.69;2.26;0.23;0.1;0.29;0.24;1.55;0.2;4.87;34.27;78.25;3.64;14.06;13.04;7.22;10.79;1.78;6.94;9.04;3.37;0.48;7.89;60.97;0.54;9.05;7.70;49.58;1.48268822472644;9.10036401456058;8.07657306292252
Mariánské Lázně;1;14.9;31.5;61.41;23.70;42.9;46.5;36.19;14.16;7.97;52.22;47.77;63.03;1.09;15.16;33.40;29.98;12.51;60.22;0.29;2.34;0.14;0.58;0.06;0.7;1.29;0.51;5.62;33.87;76.24;3.56;9.64;9.38;5.94;14.95;1.38;7.41;9.48;4.71;0.22;9.56;54.38;1.18;9.92;10.77;52.23;1.53694166584134;8.71192111287198;8.44338792040852
Mělník;0;17.11;25.37;62.86;20.03;40.8;43.6;37.81;12.03;7.17;60.19;39.8;70.16;0.57;13.59;33.81;31.48;14.22;62.81;0.26;1.34;0.1;0.14;0.07;0.15;1.13;0.15;3.08;33.85;79.72;3.88;12.09;13.29;6.15;10.82;1.13;9.01;10.58;3.35;0.19;9.24;61.45;0.86;10.90;6.51;50.93;1.57816554572896;6.71107931682017;6.19690601806313
Mikulov;1;15.81;24.66;63.68;20.51;41.7;44.2;39.05;11.13;6.72;53.41;46.58;68.94;1.06;16.09;36.77;26.51;12.95;51.82;19.43;2.11;0.07;0.16;0.12;0.05;0.56;0.08;3.16;25.6;76.08;3.53;9.25;9.35;4.41;11.40;2.94;10.78;10.50;4.71;0.21;9.00;54.07;0.83;11.45;9.73;50.88;1.67990899544977;11.7341329335332;9.73013493253373
Milevsko;0;14.09;23.69;60.49;25.42;44.6;47.4;43.04;9.99;8.57;59.71;40.28;69.19;0.74;12.18;38.57;30.89;12.98;63.43;0.17;0.56;0.05;0.04;0.11;0.05;0.31;0.12;1.24;35.16;78.78;3.44;10.56;11.81;4.28;10.68;2.48;13.34;10.03;3.80;0.46;7.92;59.26;0.94;12.33;6.25;50.44;1.71230445642172;17.5116782499715;10.4477611940299
Mladá Boleslav;0;16.67;22.45;64.68;18.64;40.5;42.9;38.94;11.81;6.16;60.27;39.72;71.98;0.58;11.92;32.46;31.82;15.78;59.97;0.36;2.42;0.49;0.16;0.19;0.18;1.59;0.36;5.39;34.28;82.53;3.06;13.31;13.59;7.66;8.25;0.46;9.28;12.79;3.03;0.15;10.95;69.27;0.52;7.85;4.88;49.55;1.52269799331834;6.74197823597825;6.76632076237186
